# OSM export 2014-01-12T18:22:01Z
# Map data © OpenStreetMap contributors - http://www.openstreetmap.org/, licensed under ODbL - http://opendatacommons.org/licenses/odbl/

foot	(low tide route)
 49.9387093   -6.3099308
 49.9412061   -6.3069074
 49.9435979   -6.3009186
 49.9499496   -6.2884302
 49.9539300   -6.2812677
 49.9556074   -6.2800403
 49.9573903   -6.2806726

foot	(low tide)
 49.9332960   -6.3316793
 49.9356544   -6.3320129
 49.9375768   -6.3319442
 49.9391592   -6.3313893

foot	1
 50.3054085   41.0813624
 50.3054545   41.0811275
 50.3055741   41.0809938
 50.3057552   41.0809884
 50.3059090   41.0809938
 50.3060491   41.0810633
 50.3061004   41.0812881
 50.3060798   41.0816091
 50.3059978   41.0820692
 50.3059158   41.0823955
 50.3058748   41.0827808
 50.3058475   41.0831339
 50.3058041   41.0838907

foot	1-oji perkėla
 55.7062658   21.1229547
 55.7058674   21.1207278
 55.7059798   21.1178908
 55.7060392   21.1152396
 55.7060633   21.1143384
 55.7060043   21.1136398
 55.7057786   21.1130086

car	12 / Actv #12
 45.4439403   12.3391850
 45.4439218   12.3393903
 45.4438776   12.3395025
 45.4438329   12.3397592
 45.4437964   12.3399835
 45.4438606   12.3402177
 45.4441168   12.3406390
 45.4442244   12.3408578
 45.4449253   12.3417809
 45.4478760   12.3445024
 45.4494844   12.3459456
 45.4504159   12.3477435
 45.4505605   12.3497640
 45.4510754   12.3520154
 45.4521890   12.3540761
 45.4524259   12.3545000
 45.4526254   12.3546181
 45.4525234   12.3559671
 45.4525289   12.3574657
 45.4576568   12.3613031
 45.4584179   12.3619859
 45.4607800   12.3707831
 45.4638428   12.3757621
 45.4683842   12.3755716
 45.4839773   12.3994022
 45.4860029   12.4028249
 45.4863491   12.4036110
 45.4866436   12.4044741
 45.4872178   12.4062734
 45.4878727   12.4084278
 45.4881291   12.4095381
 45.4887105   12.4101962
 45.4893526   12.4115055
 45.4895437   12.4119389
 45.4896346   12.4122115
 45.4897040   12.4128544
 45.4896770   12.4132716
 45.4894654   12.4136325
 45.4886478   12.4147764
 45.4875752   12.4166992
 45.4876586   12.4173255
 45.4875508   12.4196355
 45.4876651   12.4222244
 45.4880510   12.4252553
 45.4885241   12.4292979
 45.4885479   12.4305947
 45.4879761   12.4320069
 45.4821675   12.4336889
 45.4799950   12.4343976
 45.4778796   12.4360882
 45.4741365   12.4406489
 45.4727898   12.4430092
 45.4714957   12.4463137
 45.4715501   12.4471058
 45.4712850   12.4462172
 45.4713702   12.4441520
 45.4495125   12.4244933
 45.4476158   12.4246907

foot	14 / Actv #14
 45.4333660   12.3449674
 45.4325226   12.3460125
 45.4322252   12.3469761
 45.4235363   12.3614131
 45.4229377   12.3635267
 45.4224740   12.3640934
 45.4205670   12.3657306
 45.4189320   12.3663633
 45.4180696   12.3667319
 45.4177132   12.3673859
 45.4176746   12.3674773
 45.4176640   12.3676228
 45.4176518   12.3678552
 45.4176547   12.3682571
 45.4183800   12.3687714
 45.4197451   12.3684930
 45.4203915   12.3684409
 45.4208571   12.3687443
 45.4215191   12.3701721
 45.4236164   12.3760960
 45.4238147   12.3768187
 45.4242741   12.3767470
 45.4245436   12.3767209
 45.4248239   12.3767648
 45.4263677   12.3771197
 45.4280361   12.3779444
 45.4312477   12.3809846
 45.4333471   12.3839762
 45.4350896   12.3872214
 45.4352853   12.3874037
 45.4354961   12.3875218
 45.4358517   12.3881108
 45.4359571   12.3905355
 45.4348955   12.3965866
 45.4342481   12.4023480
 45.4341936   12.4027996
 45.4343442   12.4068337
 45.4347959   12.4089365
 45.4357521   12.4107175
 45.4416918   12.4160605
 45.4429188   12.4173372
 45.4438823   12.4184530
 45.4467577   12.4204056
 45.4478039   12.4213927
 45.4485039   12.4222295
 45.4487072   12.4227553
 45.4487155   12.4233295
 45.4486168   12.4236779
 45.4484889   12.4238925
 45.4482932   12.4240749
 45.4476158   12.4246907

foot	14 Tutuki Splash
 41.0849122    1.1581976
 41.0849588    1.1582256
 41.0850055    1.1582491
 41.0850621    1.1582786
 41.0851188    1.1583007
 41.0851532    1.1583140
 41.0851854    1.1583169
 41.0852176    1.1583022
 41.0852399    1.1582830
 41.0852587    1.1582477
 41.0852632    1.1581799
 41.0852576    1.1581416
 41.0852343    1.1580988
 41.0852076    1.1580767
 41.0851765    1.1580708
 41.0851310    1.1580752
 41.0849711    1.1581106
 41.0846878    1.1581607
 41.0845934    1.1581813
 41.0845534    1.1581872
 41.0845112    1.1581931
 41.0844912    1.1581813
 41.0844690    1.1581651
 41.0844457    1.1581283
 41.0844379    1.1580885
 41.0844357    1.1580546
 41.0844445    1.1580089
 41.0844601    1.1579794
 41.0844923    1.1579485
 41.0845323    1.1579470
 41.0845912    1.1579485
 41.0848344    1.1579573
 41.0850433    1.1579573
 41.0853476    1.1579485
 41.0853798    1.1579397
 41.0854065    1.1579161
 41.0854265    1.1578881
 41.0854365    1.1578483
 41.0854374    1.1578243
 41.0854342    1.1577899
 41.0854201    1.1577597
 41.0854083    1.1577422
 41.0853755    1.1577150
 41.0850903    1.1575746
 41.0849022    1.1574843
 41.0848322    1.1574696
 41.0847911    1.1574843
 41.0847667    1.1575152
 41.0847545    1.1575565
 41.0847567    1.1576051
 41.0847744    1.1576582
 41.0847922    1.1576994
 41.0847933    1.1577348
 41.0847878    1.1577658
 41.0847722    1.1577997

foot	15 / Actv #15
 45.4476158   12.4246907
 45.4487620   12.4238765
 45.4489548   12.4232315
 45.4488732   12.4225335
 45.4485172   12.4217933
 45.4471670   12.4203023
 45.4419142   12.4155082
 45.4391389   12.4130257
 45.4370038   12.4111805
 45.4359335   12.4102982
 45.4350065   12.4080718
 45.4346651   12.4028902
 45.4362099   12.3939890
 45.4360305   12.3870919
 45.4259233   12.3709763
 45.4240678   12.3674656
 45.4236077   12.3654353
 45.4235457   12.3629081
 45.4251201   12.3591993
 45.4278122   12.3555130
 45.4291766   12.3529857
 45.4303782   12.3502864
 45.4318475   12.3468319
 45.4323827   12.3452541
 45.4325139   12.3445513
 45.4331541   12.3445288
 45.4333660   12.3449674

foot	181
 57.6311316   11.8161217
 57.6415855   11.8143167
 57.6465253   11.8115655
 57.6479501   11.8096130
 57.6492554   11.8073725

foot	2
 45.4334963   12.3440957
 45.4333958   12.3440976
 45.4328034   12.3439710
 45.4322628   12.3436702
 45.4319407   12.3434592
 45.4307706   12.3428577
 45.4297136   12.3422969
 45.4294555   12.3422293

tourist	2 m
 59.2696915   11.9122271
 59.2696389   11.9118348
 59.2693595   11.9111529
 59.2689453   11.9105289
 59.2683701   11.9101880
 59.2681433   11.9102073
 59.2679493   11.9103553
 59.2676371   11.9109792
 59.2674300   11.9117833
 59.2673182   11.9126131
 59.2673248   11.9135651
 59.2673544   11.9138095
 59.2676140   11.9144464
 59.2679888   11.9145879
 59.2684917   11.9144271
 59.2689421   11.9138803
 59.2694614   11.9128961
 59.2696718   11.9124330
 59.2696915   11.9122271

tourist	20: Hafen Rundfahrt
 48.4248780   10.3006087
 48.4249150   10.3006545
 48.4249479   10.3006913
 48.4249458   10.3007377
 48.4249033   10.3007345
 48.4248449   10.3007025
 48.4248035   10.3007153
 48.4247929   10.3007729
 48.4248162   10.3008257
 48.4248980   10.3008881
 48.4249320   10.3009217
 48.4249320   10.3009569
 48.4249001   10.3009697
 48.4248184   10.3009249
 48.4247769   10.3009377
 48.4247600   10.3009777
 48.4247653   10.3010513
 48.4247844   10.3011345
 48.4248226   10.3011761
 48.4248757   10.3011761
 48.4249574   10.3011745
 48.4249967   10.3011761
 48.4250155   10.3011459
 48.4250290   10.3010792
 48.4250545   10.3007646
 48.4250568   10.3006877
 48.4250440   10.3006085
 48.4249997   10.3005531
 48.4249374   10.3005304
 48.4248991   10.3005338
 48.4248804   10.3005632
 48.4248780   10.3006087

foot	382
 58.1770096   11.4066628
 58.1766204   11.4061061
 58.1759551   11.4049134
 58.1756841   11.4044522
 58.1757269   11.4036711

foot	382
 58.1749680   11.4152264
 58.1756980   11.4132386
 58.1764484   11.4110247
 58.1767959   11.4090744
 58.1765616   11.4082836
 58.1768150   11.4089393
 58.1770512   11.4077269
 58.1770964   11.4071735
 58.1770096   11.4066628
 58.1778050   11.4061254
 58.1783401   11.4049789
 58.1788195   11.4043068
 58.1787617   11.4041087

foot	4.1 / Actv #4.1
 45.4339035   12.3428236
 45.4335510   12.3429113
 45.4335213   12.3427419
 45.4334248   12.3427655
 45.4332217   12.3433026
 45.4329510   12.3443984
 45.4328880   12.3463949
 45.4328627   12.3483531
 45.4326294   12.3484511
 45.4315604   12.3497523
 45.4307960   12.3518989
 45.4289563   12.3556056
 45.4290493   12.3558956
 45.4288190   12.3558435
 45.4281956   12.3563765
 45.4268102   12.3577299
 45.4253697   12.3604068
 45.4254039   12.3605871
 45.4252149   12.3607582
 45.4243726   12.3624780
 45.4240787   12.3645081
 45.4249997   12.3685421
 45.4257161   12.3697758
 45.4282192   12.3698543
 45.4307118   12.3672821
 45.4308870   12.3672981
 45.4312748   12.3663840
 45.4317782   12.3652489
 45.4322274   12.3642395
 45.4330281   12.3629554
 45.4334474   12.3623501
 45.4337983   12.3618529
 45.4401479   12.3652315
 45.4406160   12.3649917
 45.4409281   12.3645005
 45.4411750   12.3633809
 45.4411832   12.3620872
 45.4410448   12.3609133
 45.4407815   12.3597898
 45.4402795   12.3587514
 45.4397368   12.3576046
 45.4393270   12.3572940
 45.4392253   12.3573117
 45.4390794   12.3566897
 45.4384898   12.3555962
 45.4384471   12.3547463
 45.4384091   12.3540308
 45.4386580   12.3520815
 45.4390190   12.3503227
 45.4390984   12.3498238
 45.4390893   12.3496733
 45.4391933   12.3494245
 45.4393806   12.3484528
 45.4396635   12.3473544
 45.4400638   12.3464948
 45.4405895   12.3455473
 45.4408916   12.3450220
 45.4408820   12.3447698
 45.4410246   12.3447484
 45.4419289   12.3431927
 45.4427809   12.3416804
 45.4431190   12.3410259
 45.4431383   12.3408323
 45.4431628   12.3406509
 45.4432580   12.3406426
 45.4435348   12.3403696
 45.4449079   12.3418722
 45.4475435   12.3442926
 45.4478625   12.3445931
 45.4486730   12.3459794

foot	4.1/4.2
 45.4571811   12.3510990
 45.4570305   12.3512170
 45.4569026   12.3513457
 45.4566147   12.3516079
 45.4563156   12.3519174
 45.4562102   12.3519680
 45.4561174   12.3519687
 45.4561350   12.3521826
 45.4560823   12.3522684
 45.4558716   12.3528049
 45.4558189   12.3531053
 45.4558490   12.3537275
 45.4558716   12.3540923
 45.4559845   12.3547682
 45.4560371   12.3551008
 45.4560843   12.3555026
 45.4558791   12.3558411
 45.4557361   12.3560235
 45.4555329   12.3562381
 45.4552770   12.3563668
 45.4550814   12.3563990
 45.4548255   12.3564849
 45.4546934   12.3565545
 45.4545811   12.3564309
 45.4544243   12.3563572
 45.4540557   12.3561981
 45.4537819   12.3561116
 45.4533304   12.3559963
 45.4531657   12.3559419
 45.4530697   12.3558730
 45.4529689   12.3557500
 45.4528459   12.3555016
 45.4526239   12.3548923
 45.4526254   12.3546181
 45.4525374   12.3545181
 45.4523796   12.3538468
 45.4521575   12.3533904
 45.4516411   12.3525678
 45.4511427   12.3518413
 45.4508198   12.3504508
 45.4509327   12.3494208
 45.4510804   12.3488448

foot	4.1/4.2 #4.1/4.2
 45.4430194   12.3408977
 45.4442014   12.3410783
 45.4455099   12.3420967
 45.4465537   12.3430157
 45.4480238   12.3444587
 45.4486730   12.3459794
 45.4497482   12.3468596
 45.4505782   12.3480492
 45.4508029   12.3483670
 45.4510077   12.3487763
 45.4510804   12.3488448
 45.4511410   12.3484551
 45.4513325   12.3478589
 45.4515625   12.3477967
 45.4521510   12.3478237
 45.4528337   12.3476460
 45.4537037   12.3468828
 45.4540447   12.3465286
 45.4544149   12.3466397
 45.4546769   12.3471623
 45.4548184   12.3475091
 45.4549961   12.3482017
 45.4552654   12.3486240
 45.4555606   12.3486695
 45.4560649   12.3486124
 45.4567730   12.3486018
 45.4574188   12.3488379
 45.4577077   12.3492415
 45.4578096   12.3497411
 45.4577969   12.3502778
